简介,关键词
2000-2020年一带一路城市热岛数据集，包含从遥感数据反演得到的地表温度。每年2期数据（1月份和7月份），空间分辨率为1公里，地理坐标系为WGS_1984，地表温度（白天）= 像素值×0.02，温度单位为开氏温标（Kelvin）。数据有效值范围为7500~65535，填充值为0。,一带一路;地表温度;生态环境
"2000-2020年一带一路耕地数据集，主要包括不同耕地类别的分布区域，原始数据来源于欧州空间局的土地覆被数据（Climate Change Initiative global Land Cover products , CCI-LC）。每年1期数据，空间分辨率为300米，数据集包括2大类农田（无灌溉农田，灌溉农田），4小类（草本农作物农田，木本农作物农田，农作物<50%的混合地，农作物>50%的混合地）。",一带一路;农田状况;生态环境
该数据为2011-2019年一带一路植被状况数据集，覆盖一带一路全区域，共86个国家，产品每年2期（1月份和7月份各1期），空间分辨率为1km，每条数据包括两个波段（波段1为NDVI值，NDVI= DN×0.0001，填充值为-3000；波段2是EVI值，EVI= DN×0.0001，填充值：-3000）。,一带一路; 植被状况; 植被指数; NDVI; EVI
此数据为2011-2019年一带一路辐射收支数据集，覆盖一带一路全区域。包括可见光、近红外、短波波段的black sky地表反射率，即地表反射波与太阳入射波的能量之比。该数据产品每年包括2期数据（1月份和7月份），地表反射率 = 像素值×0.0001，有效值范围为-100–16000，填充值为-28672。每条数据包含3个波段，分别表示可见光、近红外、短波波段的地表反射率。,一带一路;辐射收支;地表反照率;albedo
2011-2018年一带一路500m夜间灯光数据集，覆盖一带一路全区域。每年1期数据，为当年的年平均值。该数据集包括两个数据源，DMSP-OLS和VIIRS。其中DMSP-OLS的原始空间分辨率为1km，重采样为500m，覆盖时间跨度为2011-2012年，VIIRS的空间分辨率为500m，时间跨度为2012-2018年。每条数据包含一个波段，表示夜间灯光指数，有效值范围为1~63，填充值包括两个，其中0表示背景噪声，255表示全年云遮挡的像素。,一带一路;夜间灯光;生态环境
2011-2018年一带一路土地覆被数据集，覆盖一带一路全区域。每年1期数据，空间分辨率为1公里。采用IGBP（国际地圈生物圈计划）土地覆盖定义的17类，包括11类自然植被分类（常绿针叶林、常绿阔叶林、落叶针叶林、落叶阔叶林、混交林、郁闭灌丛、开放灌丛、多树的草原、稀树草原、草原、湿地），3类土地利用和土地镶嵌（作物、城市和建成区、作物和自然植被的镶嵌体），3类无植生土地分类（雪冰、裸地或低植被覆盖地、水体）。,一带一路;土地覆被;生态环境
此数据为2011-2019年一带一路城市热岛数据集，覆盖一带一路全区域，包括86个国家。包含从遥感数据反演得到的地表温度。每年2期数据（1月份和7月份），空间分辨率为1公里，地理坐标系为WGS_1984，地表温度（白天）= 像素值×0.02，温度单位为开氏温标（Kelvin）。数据有效值范围为7500~65535，填充值为0。,一带一路;地表温度;生态环境
一带一路耕地数据，每年1期，每期产品覆盖一带一路86个国家。示例：2011年数据保存在目录2011，每个目录下包括86个国家的数据。空间分辨率为300米，数据集包括2大类农田，4小类，原始数据来源于欧州空间局的土地覆被数据。,一带一路;农田状况;生态环境
"该数据集包含土地覆盖数据产品。数据产品参数：每5年1期；空间分辨率为30m；地理坐标为WGS_1984；包括1个波段，值类型： 8-bit byte；有效值范围：1~6；填充值：No Data。

",叙利亚; 伊拉克;土地覆盖
"该数据集包含NDVI产品。NDIV数据产品参数：每年1期；空间分辨率为30-500；其中全国范围500米，省域100米，城市30米；地理坐标为WGS_1984；包括1个波段，值类型： float；有效值范围：-1~1；填充值：No Data。

",叙利亚; 伊拉克; NDVI
"该数据集包含农田数据产品。数据产品参数：每5年1期；空间分辨率为30m；地理坐标为WGS_1984；包括1个波段，值类型： 8-bit byte；有效值范围：1；填充值：No Data。

",叙利亚; 伊拉克; 农田分布
"该数据集包含热环境数据产品。热环境数据产品参数：每年1期；空间分辨率为30-500；其中全国范围500米，省域100米，城市30米；地理坐标为WGS_1984；包括1个波段，值类型： float；有效值范围：0~100；填充值：No Data。

",叙利亚; 伊拉克; 热环境
该产品覆盖范围涵盖西亚土耳其、阿富汗及伊朗全境，该产品使用Landsat、SPOT数据遥感数据解译得到，其中大部分区域使用Landsat数据，部分重点监测区域采用SPOT数据进行补充，利用多源、多时相遥感影像，结合遥感参数、地形地貌和自然环境因子，采用面向对象的遥感分类方法，应用影像分割、决策树分类、变化监测等关键技术完成。新疆生地所课题组目前完成西亚土耳其、伊朗、阿富汗 1990s，2000s，2010s，2015s 30米空间分辨率数据产品。该数据集可用于西亚耕地时空变化分析及资源利用评估，可为农牧业、林业、环境保护、水资源保护、环境保护等政府相关部门的规划与管理提供基础信息。,西亚;遥感;耕地
该产品覆盖范围涵盖西亚土耳其、阿富汗及伊朗全境，该产品使用Landsat、SPOT数据遥感数据解译得到，其中大部分区域使用Landsat数据，部分重点监测区域采用SPOT数据进行补充，利用多源、多时相遥感影像，结合遥感参数、地形地貌和自然环境因子，采用面向对象的遥感分类方法，应用影像分割、决策树分类、变化监测等关键技术完成。新疆生地所课题组目前完成西亚土耳其、伊朗、阿富汗 1990s，2000s，2010s，2015s 30米空间分辨率数据产品。该数据集可用于西亚森林时空变化分析及资源利用评估，可为农牧业、林业、环境保护、水资源保护、环境保护等政府相关部门的规划与管理提供基础信息。,西亚;遥感;森林
该产品覆盖范围涵盖西亚土耳其、阿富汗及伊朗全境，该产品使用Landsat、SPOT数据遥感数据解译得到，其中大部分区域使用Landsat数据，部分重点监测区域采用SPOT数据进行补充，利用多源、多时相遥感影像，结合遥感参数、地形地貌和自然环境因子，采用面向对象的遥感分类方法，应用影像分割、决策树分类、变化监测等关键技术完成。新疆生地所课题组目前完成西亚土耳其、伊朗、阿富汗 1990s，2000s，2010s，2015s 30米空间分辨率数据产品。该数据集可用于西亚草地时空变化分析及资源利用评估，可为农牧业、林业、环境保护、水资源保护、环境保护等政府相关部门的规划与管理提供基础信息。,西亚;遥感;草地
该产品覆盖范围涵盖西亚土耳其、阿富汗及伊朗全境，该产品使用Landsat、SPOT数据遥感数据解译得到，其中大部分区域使用Landsat数据，部分重点监测区域采用SPOT数据进行补充，利用多源、多时相遥感影像，结合遥感参数、地形地貌和自然环境因子，采用面向对象的遥感分类方法，应用影像分割、决策树分类、变化监测等关键技术完成。新疆生地所课题组目前完成西亚土耳其、伊朗、阿富汗 1990s，2000s，2010s，2015s 30米空间分辨率数据产品。该数据集可用于西亚人工绿洲时空变化分析及资源利用评估，可为农牧业、林业、环境保护、水资源保护、环境保护等政府相关部门的规划与管理提供基础信息。,中西亚;遥感;人工绿洲
该产品覆盖范围涵盖西亚土耳其、阿富汗及伊朗全境，该产品使用Landsat、SPOT数据遥感数据解译得到，其中大部分区域使用Landsat数据，部分重点监测区域采用SPOT数据进行补充，利用多源、多时相遥感影像，结合遥感参数、地形地貌和自然环境因子，采用面向对象的遥感分类方法，应用影像分割、决策树分类、变化监测等关键技术完成。新疆生地所课题组目前完成西亚土耳其、伊朗、阿富汗 1990s，2000s，2010s，2015s 30米空间分辨率数据产品。该数据集可用于西亚湖泊资源时空变化分析及资源利用评估，可为农牧业、林业、环境保护、水资源保护、环境保护等政府相关部门的规划与管理提供基础信息。,西亚;遥感;湖泊
该产品覆盖范围涵盖中亚五国和西亚土耳其、阿富汗及伊朗全境，为逐日去云积雪数据产品集。新疆生地所课题组对现有MODIS逐日积雪产品进行修正，提高其在中西亚地区的精度。产品输入数据：MODIS逐日积雪产品，包括Terra星MOD10A1和Aqua星MYD10A1数据，输入数据版本为Collection 6 (C6)，本年度更新中-西亚地区2017-2018年数据产品。,中西亚;遥感;积雪
土地退化防治是该区域的生态安全和社会经济可持续发展的重要内容与根本保障。联合国和联合国防治荒漠化公约分别建议用NPP和NDVI来评估土地退化。在中西亚，目前发布的NPP产品中存在许多缺失值，难以精准评估土地退化。该产品覆盖范围涵盖中亚五国和西亚土耳其、阿富汗及伊朗全境，使用多指标综合评估法来监测中亚土地退化。该数据产品可用于替换联合国SDG15.3.1 提出的土地退化指数算法中的NPP或NDVI。本年度完成2000-2018年度产品。,中西亚;遥感;土地退化
该产品覆盖范围涵盖西亚土耳其、阿富汗及伊朗全境，使用Landsat、SPOT数据遥感数据解译得到，利用多源、多时相遥感影像，结合遥感参数、地形地貌和土壤因子，采用面向对象的遥感分类方法，应用影像分割、决策树分类、变化监测等关键技术完成。按照进度要求，本年度新疆生地所课题组完成西亚土耳其、伊朗、阿富汗 1990s，2000s，2010s，2015s 30米空间分辨率数据产品。该数据集可用于西亚土壤盐渍化时空变化分析。,西亚;遥感;土壤盐渍化
"植被净初级生产力NPP是植被用于生长、发育和繁殖的能量值，也是生态系统中其他生物成员生存和繁衍的物质基础，在全球碳循环、碳截获、碳储存和全球变化中起到重要作用。新疆生地所课题组基于BEPS（Boreal Ecosystem Productivity Simulator）模型，对模型碳循环、水循环和气孔导度子模型进行改进和补充，生产了中-西亚干旱区500m分辨率的植被净初级生产力产品。经地面通量数据验证，改进的BEPS模型在中-西亚干旱区具有较好的可行性和可靠性。

",中西亚;遥感;植被净初级生产力;NPP
